nd,nper,freq,duree
ed1343252966f13781b03841d96ccf26,3,43,1445.77
3c4ad0dc999d506c8d9b54bd2fff4eeb,3,21.4,422.171999999999
3949a226ec8b8b046f5a18fca4809a72,2.5,8,200.5
b4ab76238f3165b336812122cef2eab2,2,20.6666666666666,784.383333333333
bdea3656e5da40bf5cf01286a8f4fc9b,2,15.3333333333333,712.79
560272d86ab57540553ed428bdbd8470,3,5.8,168.66
92aadb86d92bef6e1fd7e389b13b1b80,4.5,1,29.97
c2f904511e6fb443cd80e234d2c8a927,3.2,29.6,813.758
34299a6c9d7e2700fd1d845b9142519c,2,5,296.24
24ffdd3724954c6af02d52defedbd79b,3,28.4,994.22
f2448dd1bece60f50865527b8c714590,3.5,4.5,62.6999999999999
b4acdfe0983da9fe57111db03cd9098b,3,13.75,408.0325
2d8f427dcf52106f52e34e160c793f3c,1,2,80.45
1732e2e0b9b2941189360cb91223d6c8,3,77.6,2336.262
59905c29ac168d2487760ef3ff29e485,3,121,4306.988
b882629d0fa802056fc216e1470703d9,3.5,9,314.945
f9890f66babdf21a58ceded57d9e59bc,1,2,190.2
560510c4316594446355c7faf140e823,1,2,77.52
0de3d465c24e8e1d25d3a41335d55ea0,3,172.8,5346.94799999999
88a06e9ba013c5640fb4ed30b0775c72,3,43.2,1427.288
c0aa2169de270186d8b0eb414612da00,3,12,531.007777777777
e6bd1d6f7c03d0a4eeefb619d48c935a,4.5,3,151.68
8e0e851bf0ef21cf3d0878e12d8eb164,3.42857142857142,20.5714285714285,651.1
891f326d7c66021a4f5f0079ae359028,4.5,2,7.36
e77de0f6ef48b4e7285fcd8374dd891f,4.5,56,2480.06
b7827e679d159c17bcf4bc268fde5daa,3.11111111111111,54.2222222222222,1543.64222222222
4692ed50460bd9f867087b46034ffaf1,1,1,27.38
0f563d2d64161985a4f99a56ae627e73,3,41,1178.658
6b5fa06c8f44efa7d961d93cc325b2c8,2,6,77.77
8fb00ea111d741b79f404aae3b983757,3,37,1009.137
5dac0d49040f7f245d3851dadab0147c,3,5.75,214.2725
0c8e42b478bae618c6e15e0d29699173,3.25,16.5,639.69
74e59e9741ea64e92ae2bf1b8d0f6a19,1,10,275.06
41ae7a4dc8d88c99f3b08fcd267211b4,3,43.1111111111111,1321.14666666666
7f89168ade7852a23ef958993b7e189c,2.5,3,54.8949999999999
dc77501395ae967cfbe60589e784f6ab,2.57142857142857,3.57142857142857,51.9557142857142
53600df7590a3519da7444d864a64805,1.75,12,479.3175
12100a8fefad3bc795d03f9901312ca5,3.66666666666666,4,132.42
deca5fee962be217b82b14c23d463b71,3,11,446.0825
be79da576fc1886e3031696b9fdd1369,3.375,30.125,737.463749999999
6eeddd16cf2de6291acbc9123fef6356,2.57142857142857,30,979.675714285714
bb14c174e64bffed533b57047813c436,1.5,3.5,48.385
92ef5534e1f688719e264a68f2dfbec8,2,4.33333333333333,180.01
6e25977ecd820ffec2b889292e158709,3,11.8,333.572
be832b4846de250ae45ce06ede5c7ddb,1.5,35.5,1383.905
53b6e8b87ae9bd31550754eecbd30ce3,3.125,11.25,365.86875
bbaa03aeac54316b7606331cd780e8e6,3.66666666666666,2.66666666666666,42.61
124ab327112c3e9f0406606241b10327,3,24.6,741.03
52458896de95fcc5ba26fa3db9bfb4fc,3,30.2,1628.971
ee40c6ac21a290bb8a236a7bad714728,3.5,94.25,2958.2475
a0fb70d3ee03407d91f2c531e0ac633f,3,89,2251.428
bcddcb9ec4ee467294ab6e98a7fbc9a7,3,88,2036.92399999999
9a2e353030dcb2e3bcbb78a04f21ed5c,3,7,247.1775
11665e3d2438e4fc8a8e1927511ed42c,2.5,4.5,163.3
298f3505790ebfcf28c5f6a96d38fb01,4,15.6666666666666,294.099999999999
ef8c5377dc9ecbd4cd6fc66b32269a5a,2,5,93.78
601b99ec5d4ddaba013e9f5fb9aaf17e,3,18,646.672
f96daab70d9bf607ba32ee4c6418742c,4,3.33333333333333,75.0066666666666
b08189f02df0b22a563d4de7a85df900,3.375,17.5,415.67375
f1f7021751d3ca2358720dbba52823ce,2.66666666666666,10.6666666666666,281.649999999999
52d23772f7cb7ca2686206121e8ba217,3.42857142857142,15.2857142857142,370.449999999999
ef58065edb35afb093a53178f0997ee4,3,7.2,247.926
e482adab8aed4fb16d68b675c0d8261a,3.42857142857142,50.8571428571428,1919.85428571428
f2aeae64c79fd8ec454c9bf9013fdb61,2,42.6666666666666,1502.38
8d6a99ea01243e92e6d7eac0c0ee0252,1.5,20.5,637.47
56a6ec2048a95efd70bcd177586f8db3,3,55.9,2127.074
